01/10/2020|L02_01_20201001_42402|L02|Agence Okala|                                        |Espèces|BGFI BANK|1326255
01/10/2020|L03_01_20201001_42420|L03|Agence des Arcades|                                        |Espèces|UBA BANK|3406146
01/10/2020|L03_02_20201001_42419|L03|Agence des Arcades|3004258                                 |Chèque ORABANK      |UBA BANK|96591
01/10/2020|L03_02_20201001_42419|L03|Agence des Arcades|4942562                                 |Chèque BICIG        |UBA BANK|25213
01/10/2020|L04_01_20201001_42411|L04|Agence Evolis|                                        |Espèces|CITIBANK|1118395
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|0000924                                 |Chèque UGB          |CITIBANK|99840
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|0817481                                 |Chèque UBA          |CITIBANK|84713
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|3050347                                 |Chèque ECOBANK      |CITIBANK|148775
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|3198379                                 |Chèque ECOBANK      |CITIBANK|460668
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|6318864                                 |Chèque BICIG        |CITIBANK|467205
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|65544626                                |Chèque UGB          |CITIBANK|45381
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|6899233                                 |Chèque BICIG        |CITIBANK|29788
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|7268728                                 |Chèque BGFI         |CITIBANK|460000
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|7268729                                 |Chèque BGFI         |CITIBANK|300000
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|7340253                                 |Chèque BGFI         |CITIBANK|61014
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|7651107                                 |Chèque UGB          |CITIBANK|129986
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|7651108                                 |Chèque UGB          |CITIBANK|89999
01/10/2020|L04_02_20201001_42410|L04|Agence Evolis|9462517                                 |Chèque UGB          |CITIBANK|201093
01/10/2020|L05_01_20201001_42426|L05|Agence Principale|                                        |Espèces|BGFI BANK|1952730
01/10/2020|L05_02_20201001_42397|L05|Agence Principale|3294030                                 |Chèque ORABANK      |BGFI BANK|25211
01/10/2020|L05_02_20201001_42397|L05|Agence Principale|6463979                                 |Chèque BICIG        |BGFI BANK|1408007
01/10/2020|L05_02_20201001_42397|L05|Agence Principale|6480842                                 |Chèque CDC          |BGFI BANK|83401
01/10/2020|L05_02_20201001_42397|L05|Agence Principale|6480843                                 |Chèque CDC          |BGFI BANK|44030
01/10/2020|L05_02_20201001_42397|L05|Agence Principale|6554553                                 |Chèque BGFI         |BGFI BANK|45381
01/10/2020|L05_02_20201001_42397|L05|Agence Principale|9179502                                 |Chèque UGB          |BGFI BANK|29407
01/10/2020|L05_02_20201001_42397|L05|Agence Principale|9831085                                 |Chèque UGB          |BGFI BANK|92981
01/10/2020|L06_01_20201001_42408|L06|Agence Nzeng Ayong|                                        |Espèces|CITIBANK|1706906
